N;Qubits;TiempoMedioQiskit;StdQiskit;RepQiskit;TiempoMedioQsimov;StdQsimov;RepQsimov
15;12;0.3034;0.132;1024;2.5799;1.5397;5
21;15;30.4879;20.8443;1024;18.2686;14.5832;5
33;18;132.045;106.1419;1024;96.749;55.2218;5
35;18;151.761;114.9076;1024;92.2068;69.9169;5
39;18;176.8098;147.7898;1024;83.0524;59.0706;5
51;18;22.7881;16.117;1024;52.9697;29.9641;5
55;18;143.7364;137.697;1024;85.2711;60.6455;5

Muestras:;15
