N;Qubits;TasaFalloQiskit;StdQiskit;RepQiskit;TasaFalloQsimov;StdQsimov;RepQsimov
15;12;0;0.0;1024;0;0.0;5
21;15;0;0.0;1024;20;41.4;5
33;18;0;0.0;1024;0;0.0;5
35;18;0;0.0;1024;0;0.0;5
39;18;0;0.0;1024;0;0.0;5
51;18;0;0.0;1024;0;0.0;5
55;18;0;0.0;1024;0;0.0;5

Muestras:;15
