N;Qubits;TasaFalloQiskit;StdQiskit;RepQiskit;TasaFalloQsimov;StdQsimov;RepQsimov
15;12;0;0.0;128;0;0.0;1
21;15;0;0.0;128;0;0.0;1
33;18;0;0.0;128;0;0.0;1
35;18;0;0.0;128;0;0.0;1
39;18;0;0.0;128;0;0.0;1
51;18;0;0.0;128;0;0.0;1
55;18;0;0.0;128;0;0.0;1

Muestras:;15
